001 | H1 | L7 | GERA | processo clienteLongo, destino servidorWeb [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
019 | R3 | L1 | RECEBE | 688 bits recebidos; Q3 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
020 | R3 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q3 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
021 | R3 | L3 | ROTEIA | 10.0.3.0/24 via H4 (10.0.3.10), custo 0, interface e2; entrega direta [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
022 | R3 | L2 | ENQUADRA | BB:00:00:00:03:02 -> AA:00:00:00:03:0A; H2=14 B e F2/CRC32=4 B; novo Q4, contém P1 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
023 | R3 | L1 | TRANSMITE | 688 bits no enlace R3-H4; Q4 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
024 | H4 | L1 | RECEBE | 688 bits recebidos; Q4 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
025 | H4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q4 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
026 | H4 | L3 | DECAPSULA | P1; 10.0.1.10 -> 10.0.3.10; H3 removido no destino [10.0.1.10:5400 -> 10.0.3.10:443] 48 B
027 | H4 | L4 | DEMULTIPLEXA | fluxo 10.0.1.10:5400 -> 10.0.3.10:443; segmento 1/3, 40 B de carga; 1/3 recebido(s) [10.0.1.10:5400 -> 10.0.3.10:443] 40 B
028 | H1 | L4 | SEGMENTA | porta 5400 -> 443, segmento 2/3; carga 40 B, limite 40 B [10.0.1.10:5400 -> 10.0.3.10:443] 48 B
029 | H1 | L3 | ENCAPSULA | 10.0.1.10 -> 10.0.3.10, pacote P2 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
030 | H1 | L3 | ROTEIA | 10.0.3.0/24 via R1 (10.0.1.1), custo 0, interface eth0 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
031 | H1 | L2 | ENQUADRA | AA:00:00:00:01:0A -> BB:00:00:00:01:00; H2=14 B e F2/CRC32=4 B; novo Q5, contém P2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
032 | H1 | L1 | TRANSMITE | 688 bits no enlace H1-R1; Q5 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
033 | R1 | L1 | RECEBE | 688 bits recebidos; Q5 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
034 | R1 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q5 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
035 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4 (10.0.14.4), custo 2, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
036 | R1 | L2 | ENQUADRA | BB:00:00:00:01:01 -> BB:00:00:00:04:00; H2=14 B e F2/CRC32=4 B; novo Q6, contém P2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
037 | R1 | L1 | TRANSMITE | 688 bits no enlace R1-R4; Q6 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
038 | R4 | L1 | RECEBE | 688 bits recebidos; Q6 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
039 | R4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q6 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
040 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3 (10.0.34.3), custo 1, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
041 | R4 | L2 | ENQUADRA | BB:00:00:00:04:01 -> BB:00:00:00:03:00; H2=14 B e F2/CRC32=4 B; novo Q7, contém P2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
042 | R4 | L1 | TRANSMITE | 688 bits no enlace R4-R3; Q7 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
043 | R3 | L1 | RECEBE | 688 bits recebidos; Q7 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
044 | R3 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q7 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
045 | R3 | L3 | ROTEIA | 10.0.3.0/24 via H4 (10.0.3.10), custo 0, interface e2; entrega direta [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
046 | R3 | L2 | ENQUADRA | BB:00:00:00:03:02 -> AA:00:00:00:03:0A; H2=14 B e F2/CRC32=4 B; novo Q8, contém P2 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
047 | R3 | L1 | TRANSMITE | 688 bits no enlace R3-H4; Q8 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
048 | H4 | L1 | RECEBE | 688 bits recebidos; Q8 [10.0.1.10:5400 -> 10.0.3.10:443] 86 B
049 | H4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q8 [10.0.1.10:5400 -> 10.0.3.10:443] 68 B
050 | H4 | L3 | DECAPSULA | P2; 10.0.1.10 -> 10.0.3.10; H3 removido no destino [10.0.1.10:5400 -> 10.0.3.10:443] 48 B
051 | H4 | L4 | DEMULTIPLEXA | fluxo 10.0.1.10:5400 -> 10.0.3.10:443; segmento 2/3, 40 B de carga; 2/3 recebido(s) [10.0.1.10:5400 -> 10.0.3.10:443] 40 B
052 | H1 | L4 | SEGMENTA | porta 5400 -> 443, segmento 3/3; carga 24 B, limite 40 B [10.0.1.10:5400 -> 10.0.3.10:443] 32 B
053 | H1 | L3 | ENCAPSULA | 10.0.1.10 -> 10.0.3.10, pacote P3 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
054 | H1 | L3 | ROTEIA | 10.0.3.0/24 via R1 (10.0.1.1), custo 0, interface eth0 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
055 | H1 | L2 | ENQUADRA | AA:00:00:00:01:0A -> BB:00:00:00:01:00; H2=14 B e F2/CRC32=4 B; novo Q9, contém P3 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
056 | H1 | L1 | TRANSMITE | 560 bits no enlace H1-R1; Q9 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
057 | R1 | L1 | RECEBE | 560 bits recebidos; Q9 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
058 | R1 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q9 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
059 | R1 | L3 | ROTEIA | 10.0.3.0/24 via R4 (10.0.14.4), custo 2, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
060 | R1 | L2 | ENQUADRA | BB:00:00:00:01:01 -> BB:00:00:00:04:00; H2=14 B e F2/CRC32=4 B; novo Q10, contém P3 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
061 | R1 | L1 | TRANSMITE | 560 bits no enlace R1-R4; Q10 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
062 | R4 | L1 | RECEBE | 560 bits recebidos; Q10 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
063 | R4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q10 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
064 | R4 | L3 | ROTEIA | 10.0.3.0/24 via R3 (10.0.34.3), custo 1, interface e1 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
065 | R4 | L2 | ENQUADRA | BB:00:00:00:04:01 -> BB:00:00:00:03:00; H2=14 B e F2/CRC32=4 B; novo Q11, contém P3 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
066 | R4 | L1 | TRANSMITE | 560 bits no enlace R4-R3; Q11 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
067 | R3 | L1 | RECEBE | 560 bits recebidos; Q11 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
068 | R3 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q11 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
069 | R3 | L3 | ROTEIA | 10.0.3.0/24 via H4 (10.0.3.10), custo 0, interface e2; entrega direta [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
070 | R3 | L2 | ENQUADRA | BB:00:00:00:03:02 -> AA:00:00:00:03:0A; H2=14 B e F2/CRC32=4 B; novo Q12, contém P3 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
071 | R3 | L1 | TRANSMITE | 560 bits no enlace R3-H4; Q12 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
072 | H4 | L1 | RECEBE | 560 bits recebidos; Q12 [10.0.1.10:5400 -> 10.0.3.10:443] 70 B
073 | H4 | L2 | DESENQUADRA | verificação de erro correta; quadro descartado, H2 e F2 removidos; Q12 [10.0.1.10:5400 -> 10.0.3.10:443] 52 B
074 | H4 | L3 | DECAPSULA | P3; 10.0.1.10 -> 10.0.3.10; H3 removido no destino [10.0.1.10:5400 -> 10.0.3.10:443] 32 B
075 | H4 | L4 | DEMULTIPLEXA | fluxo 10.0.1.10:5400 -> 10.0.3.10:443; segmento 3/3, 24 B de carga; 3/3 recebido(s) [10.0.1.10:5400 -> 10.0.3.10:443] 24 B
076 | H4 | L4 | REMONTA | 3 segmento(s) ordenados e remontados; libera mensagem à L5 [10.0.1.10:5400 -> 10.0.3.10:443] 104 B
077 | H4 | L5 | MANTEM | diálogo S-0001 ativo [10.0.1.10:5400 -> 10.0.3.10:443] 104 B
078 | H4 | L5 | ENCERRA | sessão S-0001 recebida e encerrada; H5 removido [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
079 | H4 | L6 | DECODIFICA | conteúdo decifrado e convertido de UTF-8 em texto no destino [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
080 | H4 | L7 | ENTREGA | mensagem entregue ao processo servidorWeb: '0123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789' [10.0.1.10:5400 -> 10.0.3.10:443] 100 B
081 | H1 | L5 | ENCERRA | sessão S-0001 encerrada (concluído); evento local do experimento, sem bytes adicionais no enlace [10.0.1.10:5400 -> 10.0.3.10:443] 0 B

RESUMO E7
Dados úteis: 100 B
Transmitidos: 968 B
Quadros: 12
Eficiência global: 10,33%
Eficiência dos quadros: 41,32%
Controle nos quadros: 568 B
Dados entregues: 100 B

