# Simulador do Modelo OSI 1.0 - Grupo 8
# Integrantes: Arthur Benevides 082230016, Fernando Montanher 082230010, Guilherme Costa 081240041, Juan Haddad 081240043, Murillo Ando 082240042
# Cenario: E3/C3 - Demultiplexacao
# Descricao: H1 e H2 enviam ao mesmo servidorWeb de H4, com portas de origem distintas.
# Rede: Rede de referencia do Projeto 1
# Caminho: H1 -> R1 -> R4 -> R3 -> H4
# Octetos uteis da mensagem ....... 84 B
# Octetos transmitidos nos enlaces  736 B
# Quadros construidos ............. 8
# Eficiencia (n) .................. 11.4%
# Sobrecarga (1 - n) .............. 88.6%
#
001 | H1 | L7 | GERA         | processo navegador, destino servidorWeb                       42 B
017 | R1 | L1 | RECEBE       | 736 bits do enlace H1–R1                                      92 B
018 | R1 | L1 | RECEBE       | 736 bits do enlace H2–R1                                      92 B
019 | R1 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q1 descartado             74 B
020 | R1 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q5 descartado             74 B
021 | R1 | L3 | ROTEIA       | 10.0.3.0/24 via R4, custo 2, interface e1                     74 B
022 | R1 | L3 | ROTEIA       | 10.0.3.0/24 via R4, custo 2, interface e1                     74 B
023 | R1 | L2 | ENQUADRA     | BB:...:01:01 → BB:...:04:00, quadro Q2                        92 B
024 | R1 | L2 | ENQUADRA     | BB:...:01:01 → BB:...:04:00, quadro Q6                        92 B
025 | R1 | L1 | TRANSMITE    | 736 bits no enlace R1–R4                                      92 B
026 | R1 | L1 | TRANSMITE    | 736 bits no enlace R1–R4                                      92 B
027 | R4 | L1 | RECEBE       | 736 bits do enlace R1–R4                                      92 B
028 | R4 | L1 | RECEBE       | 736 bits do enlace R1–R4                                      92 B
029 | R4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q2 descartado             74 B
030 | R4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q6 descartado             74 B
031 | R4 | L3 | ROTEIA       | 10.0.3.0/24 via R3, custo 1, interface e1                     74 B
032 | R4 | L3 | ROTEIA       | 10.0.3.0/24 via R3, custo 1, interface e1                     74 B
033 | R4 | L2 | ENQUADRA     | BB:...:04:01 → BB:...:03:00, quadro Q3                        92 B
034 | R4 | L2 | ENQUADRA     | BB:...:04:01 → BB:...:03:00, quadro Q7                        92 B
035 | R4 | L1 | TRANSMITE    | 736 bits no enlace R4–R3                                      92 B
036 | R4 | L1 | TRANSMITE    | 736 bits no enlace R4–R3                                      92 B
037 | R3 | L1 | RECEBE       | 736 bits do enlace R4–R3                                      92 B
038 | R3 | L1 | RECEBE       | 736 bits do enlace R4–R3                                      92 B
039 | R3 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q3 descartado             74 B
040 | R3 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q7 descartado             74 B
041 | R3 | L3 | ROTEIA       | 10.0.3.0/24 e rede local, entrega direta pela interface e2    74 B
042 | R3 | L3 | ROTEIA       | 10.0.3.0/24 e rede local, entrega direta pela interface e2    74 B
043 | R3 | L2 | ENQUADRA     | BB:...:03:02 → AA:...:03:0A, quadro Q4                        92 B
044 | R3 | L2 | ENQUADRA     | BB:...:03:02 → AA:...:03:0A, quadro Q8                        92 B
045 | R3 | L1 | TRANSMITE    | 736 bits no enlace R3–H4                                      92 B
046 | R3 | L1 | TRANSMITE    | 736 bits no enlace R3–H4                                      92 B
047 | H4 | L1 | RECEBE       | 736 bits do enlace R3–H4                                      92 B
048 | H4 | L1 | RECEBE       | 736 bits do enlace R3–H4                                      92 B
049 | H4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q4 descartado             74 B
050 | H4 | L2 | DESENQUADRA  | verificacao de erro correta, quadro Q8 descartado             74 B
051 | H4 | L3 | DESENCAPSULA | pacote P1 entregue ao destino 10.0.3.10                       54 B
052 | H4 | L3 | DESENCAPSULA | pacote P2 entregue ao destino 10.0.3.10                       54 B
053 | H4 | L4 | DEMULTIPLEXA | porta 443 (servidorWeb) recebe da porta 5210, segmento 1 de 1 46 B
054 | H4 | L4 | DEMULTIPLEXA | porta 443 (servidorWeb) recebe da porta 5310, segmento 1 de 1 46 B
055 | H4 | L5 | ENCERRA      | sessao S-0001 encerrada                                       42 B
056 | H4 | L5 | ENCERRA      | sessao S-0002 encerrada                                       42 B
057 | H4 | L6 | DECODIFICA   | conteudo decifrado e texto restaurado                         42 B
058 | H4 | L6 | DECODIFICA   | conteudo decifrado e texto restaurado                         42 B
059 | H4 | L7 | ENTREGA      | mensagem entregue ao processo servidorWeb                     42 B
060 | H4 | L7 | ENTREGA      | mensagem entregue ao processo servidorWeb                     42 B
